,#,Player,Pos,HT,WT,Age,Current Team,YOS,Pre-Draft Team,Draft Status,Nationality
196,21.0,Jrue Holiday,G,6-4,205.0,32,Milwaukee Bucks,13,UCLA,2009 Rnd 1 Pick 17,United States
197,0.0,Justin Holiday,SF,6-6,181.0,33,Dallas Mavericks,9,Washington,"2011 NBA Draft, Undrafted",United States
198,22.0,Richaun Holmes,F,6-10,240.0,29,Sacramento Kings,7,Bowling Green,2015 Rnd 2 Pick 7,United States
200,42.0,Al Horford,FC,6-9,240.0,36,Boston Celtics,15,Florida,2007 Rnd 1 Pick 3,Dominican RepublicUnited States
202,25.0,Danuel House,F,6-6,215.0,29,Philadelphia Sixers,6,Texas A&M,"2016 NBA Draft, Undrafted",United States
209,9.0,Andre Iguodala,SF,6-6,215.0,39,Golden State Warriors,18,Arizona,2004 Rnd 1 Pick 9,United States
210,7.0,Joe Ingles,F,6-8,226.0,35,Milwaukee Bucks,8,Melbourne South (Australia),"2009 NBA Draft, Undrafted",Australia
211,14.0,Brandon Ingram,SF,6-7,190.0,25,New Orleans Pelicans,6,Duke,2016 Rnd 1 Pick 2,United States
212,2.0,Kyrie Irving,G,6-2,191.0,31,Dallas Mavericks,11,Duke,2011 Rnd 1 Pick 1,United StatesAustralia
213,1.0,Jonathan Isaac,SF,6-10,230.0,25,Orlando Magic,5,Florida State,2017 Rnd 1 Pick 6,United States
218,7.0,Reggie Jackson,G,6-2,208.0,32,Denver Nuggets,11,Boston College,2011 Rnd 1 Pick 24,ItalyUnited States
219,6.0,LeBron James,F,6-8,250.0,38,Los Angeles Lakers,19,St. Vincent St. Mary High School (Ohio),2003 Rnd 1 Pick 1,United States
225,16.0,James Johnson,F,6-7,240.0,36,Indiana Pacers,13,Wake Forest,2009 Rnd 1 Pick 16,United States
228,15.0,Nikola Jokic,C,7-0,284.0,28,Denver Nuggets,7,KK Mega Bemax (Serbia),2014 Rnd 2 Pick 11,Serbia
230,15.0,Damian Jones,PF,7-0,245.0,27,Utah Jazz,6,Vanderbilt,2016 Rnd 1 Pick 30,United States
231,5.0,Derrick Jones,SF,6-6,210.0,26,Chicago Bulls,6,UNLV,"2016 NBA Draft, Undrafted",United States
235,21.0,Tyus Jones,PG,6-1,196.0,26,Memphis Grizzlies,7,Duke,2015 Rnd 1 Pick 24,United States
236,6.0,DeAndre Jordan,C,6-11,265.0,34,Denver Nuggets,14,Texas A&M,2008 Rnd 2 Pick 5,United States
237,18.0,Cory Joseph,PG,6-3,200.0,31,Detroit Pistons,11,Texas,2011 Rnd 1 Pick 29,Canada
241,33.0,Frank Kaminsky,F,7-0,242.0,29,Houston Rockets,7,Wisconsin,2015 Rnd 1 Pick 9,United States
243,10.0,Luke Kennard,SG,6-5,206.0,26,Memphis Grizzlies,5,Duke,2017 Rnd 1 Pick 12,United States
247,42.0,Maxi Kleber,PF,6-10,240.0,31,Dallas Mavericks,5,s.Oliver Baskets (Germany),"2014 NBA Draft, Undrafted",Germany
252,30.0,Furkan Korkmaz,SG,6-7,210.0,25,Philadelphia Sixers,5,Anadolu Efes (Turkey),2016 Rnd 1 Pick 26,Turkey
253,40.0,Luke Kornet,F,7-2,252.0,27,Boston Celtics,5,Vanderbilt,"2017 NBA Draft, Undrafted",United States
256,33.0,Kyle Kuzma,F,6-10,221.0,27,Washington Wizards,5,Utah,2017 Rnd 1 Pick 27,United States
258,8.0,Zach LaVine,SG,6-5,200.0,28,Chicago Bulls,8,UCLA,2014 Rnd 1 Pick 13,United States
263,3.0,Caris LeVert,G,6-6,205.0,28,Cleveland Cavaliers,6,Michigan,2016 Rnd 1 Pick 20,United States
264,10.0,Damion Lee,G,6-5,203.0,30,Phoenix Suns,5,Louisville,"2016 NBA Draft, Undrafted",United States
266,25.0,Alex Len,C,7-0,250.0,29,Sacramento Kings,9,Maryland,2013 Rnd 1 Pick 5,Ukraine
267,2.0,Kawhi Leonard,F,6-7,225.0,31,Los Angeles Clippers,11,San Diego State,2011 Rnd 1 Pick 15,United States
268,3.0,Meyers Leonard,C,7-1,255.0,31,Milwaukee Bucks,9,Illinois,2012 Rnd 1 Pick 11,United States
272,0.0,Damian Lillard,G,6-2,200.0,32,Portland Trail Blazers,10,Weber State,2012 Rnd 1 Pick 6,United States
