id,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
7FiotLvz43ez091HX0bnmQ,0.11,0.659,186320,0.472,0.0,0.262,-9.428,0.0264,78.327,0.741
75Y88Zol5lYhme2YOI544T,0.00213,0.696,176507,0.87,0.000229,0.0525,-3.5660000000000003,0.0487,117.998,0.8759999999999999
1tF370eYXUcWwkIvaq3IGz,0.363,0.63,193760,0.764,0.0,0.125,-4.353,0.0275,112.098,0.631
0VamAmertqIxKM5axPSkCy,0.0427,0.73,180453,0.732,2.22e-06,0.262,-5.167000000000002,0.051,129.974,0.974
1JyG5yuwpN0VIi4wbqvDfB,0.21,0.56,177533,0.404,0.00049,0.197,-8.817,0.0357,145.612,0.157
2uhaDVmfG7pT94VO5jl2r4,0.5429999999999999,0.727,216613,0.812,0.0,0.0796,-4.148,0.0405,128.811,0.812
3JhNsyNQSyrsHcnFRHZN1e,0.44,0.581,381507,0.36,0.00589,0.0924,-13.174,0.0289,132.469,0.107
775OxWq9wfVzmVDS0n3zff,0.442,0.321,144200,0.241,0.888,0.105,-20.495,0.0373,128.98,0.0795
6C7YFHZnzkSMsR5Hu4xVfL,0.229,0.584,292453,0.69,1.74e-05,0.146,-7.877999999999999,0.101,85.046,0.512
6WF4hzdGXvXd1joERSXJjm,0.01,0.419,242253,0.773,0.00418,0.269,-6.187,0.0305,89.954,0.274
4sLGaMl33I6mcsk7u4xHAU,0.841,0.327,287067,0.128,0.76,0.13,-17.535999999999998,0.0301,58.993,0.0648
31DmTztbIIsv6wSE93S4fZ,0.701,0.6709999999999999,153667,0.499,1.12e-05,0.0579,-6.556,0.0348,153.957,0.966
1U69jy6P8Kz0hdNOuzbRCk,0.0216,0.584,169133,0.855,3.8e-06,0.119,-4.5360000000000005,0.0564,111.085,0.863
6jAyMqsMuu7NTmefJVE8Pc,0.1639999999999999,0.54,208053,0.535,0.00225,0.104,-8.908999999999997,0.0315,150.84,0.471
3oMgeBTWn2AbLzVHbhmZI6,0.000354,0.629,236520,0.8909999999999999,0.0459,0.251,-4.912,0.213,109.91,0.518
5zes2uxTNuqNlO6toDTZN5,0.166,0.662,199240,0.923,9.64e-06,0.31,-4.085,0.21,84.99,0.469
6eRPYyh1EPRqDhgb3Nardw,0.276,0.537,375433,0.596,0.77,0.358,-8.481,0.0343,140.026,0.109
0Gs5zsjp7Rp2i41yMgNxCf,0.189,0.6890000000000001,236547,0.652,0.0,0.0355,-6.476,0.159,90.997,0.7020000000000001
2aDsxXzs55S9I7THzNoHdD,0.00252,0.603,235307,0.82,0.0,0.178,-4.587,0.0566,152.05700000000004,0.561
0QIcBEx2NtaMkAeqOpnqjL,0.6920000000000001,0.716,195675,0.491,0.0,0.196,-4.449,0.0515,104.859,0.967
5iYUt3rsgrGFU0nugdhYwj,0.275,0.64,207947,0.8959999999999999,0.0,0.147,-3.221,0.0789,123.071,0.7509999999999999
7Cj2tT0m2SBeIO1PsGfk8A,0.818,0.643,249535,0.394,0.0,0.0888,-6.305,0.0305,97.911,0.364
2t97pZAsSgraYlocMNhkSe,0.5329999999999999,0.75,213440,0.8079999999999999,0.0,0.087,-4.074,0.0423,136.059,0.89
0kZEfdlIq3sfQklsGcUZDm,0.589,0.59,116762,0.325,0.927,0.2,-20.327,0.0348,94.622,0.404
2X42KFgnOSaxOHMG0nDOdj,0.0139,0.416,242173,0.84,0.0,0.113,-4.298,0.0787,177.942,0.523
3JWkjpMCesLuBbz2LMMDgz,0.23,0.752,226012,0.693,0.0,0.199,-5.144,0.0932,119.977,0.667
34LcXo2NQttotmy7XzlKsY,0.00162,0.5870000000000001,315263,0.556,0.216,0.0782,-7.991,0.044,128.017,0.309
4kgEQKp5Y4ltlxM9rh4jXW,0.0859,0.605,231920,0.909,0.0024,0.889,-5.985,0.0935,117.386,0.55
0ni8h8HAJNFwuL9cMWR9XN,0.115,0.5660000000000001,325027,0.706,2.4e-05,0.147,-5.509,0.0376,89.993,0.211
6uBexmz61ckt5XQRqTgF3M,0.8759999999999999,0.604,191267,0.363,0.166,0.165,-11.674,0.0295,88.37700000000002,0.672
05wB0mSpDASexc98oKZCOw,0.457,0.568,226689,0.317,0.0195,0.107,-10.545,0.045,113.429,0.7609999999999999
6wt538gLCcV38weNmJjU0z,0.502,0.412,154776,0.72,0.00293,0.135,-9.777,0.0479,191.333,0.965
5Ukzlujip1Slqka5OY82YS,0.3229999999999999,0.422,228600,0.405,0.0,0.15,-11.126,0.101,74.13,0.578
0oFCz4vOMbg9dRmV69K1vG,0.000659,0.516,191600,0.959,4.44e-06,0.046,-2.484,0.0597,109.91,0.474
2CG1FmeprsyjgHIPNMYCf4,0.0216,0.691,326267,0.522,0.0141,0.125,-8.024,0.0908,133.995,0.187
2Px4PrbPBMeWB1silbjI5H,0.54,0.353,165651,0.703,0.0641,0.91,-5.847,0.0583,100.076,0.608
7IMK1ikz0idnl1xc6oAwjM,0.495,0.552,226579,0.44,0.0,0.172,-8.243,0.15,72.429,0.45
4lGb7vjGqK8OZhXRozj0Go,0.923,0.508,250200,0.466,0.1689999999999999,0.622,-11.504,0.035,119.952,0.0768
1l5lKWHRfyY7Y3FvDBXlvJ,0.3670000000000001,0.513,380547,0.467,0.000542,0.319,-8.305,0.0295,145.02700000000004,0.31
3qCuJeB14uwEtuSk8ZBWzn,0.174,0.7340000000000001,203120,0.882,1.21e-06,0.121,-3.235,0.0412,126.977,0.393
2aMHA0kCzCKDiRTNEe4NJc,0.0207,0.455,285307,0.647,0.0556,0.098,-7.27,0.203,99.505,0.489
4N4CHJqFZHyB7SBUuSFu1y,0.057,0.439,248187,0.753,0.0,0.1,-4.799,0.0932,95.339,0.5379999999999999
6gsYe0vsR4lgR1eqv1NxhY,0.542,0.601,189773,0.289,1.77e-05,0.09,-11.65,0.0368,122.03,0.634
2BEZkzfIWNFSNjZMAKhyAR,0.296,0.569,199893,0.5670000000000001,0.0,0.0855,-5.327000000000001,0.0325,159.914,0.7979999999999999
3RsL0gYDlwaZWxHJJwO3j8,0.021,0.7909999999999999,203200,0.7959999999999999,0.0,0.093,-6.63,0.0901,127.997,0.653
4PvK3MoMr3z32YBnPjgKJN,0.412,0.639,184920,0.594,1.23e-06,0.143,-7.362999999999999,0.0239,88.301,0.537
3Z469RvXlYPsKV5iCPxgt9,0.0317,0.807,222000,0.505,0.0,0.0817,-6.765,0.0462,105.017,0.6940000000000001
73ZwclyHPk6XcIlDkT3pwf,0.307,0.356,190293,0.395,1.36e-06,0.332,-8.289,0.0251,85.904,0.258
5CwOUooch74h0XarhDfAQK,0.8540000000000001,0.16,240000,1.0,0.974,0.963,-16.449,0.0458,130.674,1e-05
7zZkPiqHnL7icGGb4Almf6,5.85e-05,0.428,235374,0.8240000000000001,0.000253,0.126,-5.022,0.0459,124.006,0.275
6y468DyY1V67RBNCwzrMrC,0.207,0.603,228000,0.745,0.0,0.348,-5.79,0.0368,81.98100000000002,0.606
7n4PRAJjYzGFr1DR3KHYMU,0.0208,0.693,205600,0.784,0.0,0.334,-5.2860000000000005,0.202,146.843,0.61
7FyEGqO2tpOxIkVYunP8qL,0.916,0.466,204853,0.0264,0.0291,0.0893,-21.991,0.0553,143.476,0.272
28XDE6yXI6Bp4U3nLSGqzp,0.0758,0.687,256147,0.684,0.000808,0.0441,-5.181,0.032,119.193,0.96
6LfJVV4oNiz7KeDrZUf8ty,0.491,0.607,192893,0.67,0.0,0.0747,-5.517,0.244,80.89699999999998,0.908
1O7oz3f9EuSeeX0J7t5z6J,0.000571,0.183,222627,0.984,1.84e-05,0.288,-2.654,0.186,182.41,0.36
5m0IsXTsXWxSbdltKmsKlI,0.0236,0.44,254453,0.8740000000000001,0.0,0.289,-3.749,0.048,149.998,0.38
6Yg4IOp8eV8csWAb1b6mWY,0.105,0.531,233320,0.711,0.0,0.141,-5.187,0.0363,132.111,0.261
0CG1VDIBtoHTPvvBEzqKaY,0.0112,0.464,211840,0.923,0.0,0.229,-4.015,0.0467,99.012,0.799
6uxYfENm7zw050dNUi031W,0.000323,0.583,320547,0.768,0.0162,0.109,-6.477,0.041,127.952,0.357
3eRZZ4d2RJSqFKzP7tSdFE,0.209,0.18,286253,0.636,0.000133,0.217,-6.591,0.0438,75.632,0.39
