"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"129","John Collins","Atl","F-C","25.5","63","30.1","17","10.4","148","0.824","420","0.629","206","0.267","0.554","0.59","12.9","6.6","1.2","0.6","1.1","1.2","19.5","14.1","20.7","6.2","115.6","107.7"
"130","Dennis Schroder","Lal","G","29.5","60","30.6","18.6","14.8","225","0.871","395","0.461","208","0.341","0.478","0.551","12.9","2.5","4.6","0.8","0.1","1.8","15.4","17.5","20","6.9","111.7","111.1"
"131","Alec Burks","Det","G","31.7","51","22","22.7","11.2","188","0.814","220","0.459","239","0.414","0.544","0.602","12.8","3.1","2.2","0.7","0.2","1.1","15.9","15","18.1","8.1","119.7","112.6"
"132","Cole Anthony","Orl","G","22.9","54","25.6","21.5","12.9","156","0.891","356","0.489","186","0.36","0.506","0.563","12.7","4.6","3.9","0.6","0.5","1.5","17.4","16.6","21.3","9.5","116.1","106.6"
"133","Kenyon Martin Jr.","Hou","F","22.2","74","27.6","16.6","11.7","199","0.678","444","0.685","200","0.31","0.616","0.635","12.6","5.5","1.5","0.5","0.4","1.1","18.1","14.1","19.6","6.8","124.8","116.3"
"134","Jabari Smith Jr.","Hou","F","19.9","71","30.7","18.4","11.1","181","0.773","425","0.487","365","0.312","0.478","0.515","12.6","7.1","1.2","0.5","0.9","1.4","19.7","13.9","21","6.2","106.3","112"
"135","Nic Claxton","Bro","F-C","23.9","68","29.6","15.7","14.2","225","0.529","522","0.703","2","0","0.7","0.685","12.5","9.2","1.8","0.8","2.5","1.3","21.7","14.4","23.5","8","132","105.2"
"136","Tre Jones","San","G","23.2","60","29.2","19.4","13","146","0.87","516","0.494","142","0.261","0.472","0.518","12.5","3.5","6.4","1.3","0.2","1.6","15.9","18.8","22.3","9","113.8","118.6"
"137","Lonnie Walker IV","Lal","G-F","24.3","52","24.5","20.3","8.2","106","0.858","273","0.524","245","0.363","0.534","0.57","12.4","2.1","1.2","0.6","0.3","0.9","14.4","13.6","15.7","5.1","110.8","113"
"138","Jaden McDaniels","Min","F","22.5","71","30.9","15.8","13.3","135","0.756","405","0.593","244","0.393","0.592","0.614","12.3","4","2","0.9","1","1.4","16.2","14.2","18.2","6","116.9","108.1"
"139","Austin Reaves","Lal","G","24.8","56","28.1","16","16.7","223","0.861","229","0.62","185","0.378","0.597","0.67","12.3","3","3.1","0.6","0.3","1.5","15.3","15.4","18.4","6.9","127.1","112.2"
"140","Derrick White","Bos","G","28.7","74","28.3","17.4","10.4","170","0.876","331","0.544","348","0.382","0.559","0.602","12.3","3.5","4","0.7","0.9","1.1","15.8","16.3","19.8","7.9","125.8","107.9"
"141","Kelly Olynyk","Uta","F-C","31.9","61","28.2","17.5","22.4","206","0.854","274","0.569","215","0.395","0.58","0.641","12.2","5.8","3.4","0.9","0.6","2.3","18","15.6","21.4","8.8","118.4","106.1"
"142","Mason Plumlee","Cha","F-C","33.1","56","28.5","15.7","17.8","256","0.605","396","0.669","0","0","0.669","0.673","12.2","9.6","3.7","0.6","0.6","1.5","21.9","15.9","25.5","10.6","134","106.5"
"143","Thomas Bryant","Lal","C-F","25.7","41","21.3","18.2","8.5","108","0.741","251","0.697","50","0.44","0.691","0.712","12.1","6.8","0.7","0.3","0.6","0.7","18.9","12.8","19.6","7.3","138.2","105.2"
"144","Bones Hyland","Den","G","22.5","42","19.5","28.5","13.4","82","0.866","193","0.425","241","0.378","0.503","0.54","12.1","2","3","0.7","0.3","1.6","14.1","15.1","17.1","8.6","106.3","110.3"
"145","Jakob Poeltl","San","C","27.4","46","26.1","18.7","19.8","129","0.605","387","0.618","1","0","0.616","0.625","12.1","9","3.1","0.8","1.1","2.1","21.1","15.2","24.2","10.7","119.2","110.6"
"146","Marvin Bagley III","Det","F","24","36","23.5","20.4","10.8","88","0.739","275","0.589","54","0.259","0.556","0.586","12","6.7","0.8","0.5","0.8","1.1","18.7","12.8","19.5","6.8","117.7","111.6"
"147","Caris LeVert","Cle","G","28.6","69","30","19.1","13.7","172","0.733","398","0.457","298","0.379","0.505","0.537","12","3.9","3.9","1","0.3","1.6","15.9","16","19.8","7.6","110.4","106.4"
"148","Clint Capela","Atl","C","28.9","57","26.6","15.8","8.6","104","0.577","477","0.648","1","0","0.646","0.647","11.9","11.1","0.9","0.7","1.2","0.8","22.9","12.8","23.8","7.4","136.8","107.9"
"149","Keegan Murray","Sac","F","22.6","71","29.7","15.7","7.7","76","0.776","243","0.519","437","0.407","0.578","0.592","11.9","4.6","1.2","0.8","0.5","0.8","16.5","13.1","17.7","5.4","117.1","112.9"
"150","Kyle Lowry","Mia","G","37","49","32.4","16.9","17.4","123","0.854","167","0.509","289","0.349","0.519","0.567","11.8","4.2","5.2","1.1","0.4","2","16","17","21.2","7.9","114.2","107.2"
"151","Max Strus","Mia","G-F","27","72","29","17.7","7.9","87","0.885","213","0.563","518","0.34","0.525","0.549","11.7","3.3","2.2","0.6","0.2","0.9","15.1","13.9","17.2","6.1","112.2","109.8"
"152","Josh Richardson","San","G","29.5","42","23.7","20.6","13.4","60","0.883","199","0.518","207","0.357","0.527","0.556","11.5","2.8","3.3","1","0.3","1.5","14.3","14.7","17.5","8","110.8","116.7"
"153","Malik Beasley","Lal","G","26.3","18","25.7","20.9","10.3","11","0.636","66","0.455","135","0.341","0.493","0.498","11.4","3.6","1.2","0.9","0","1.3","14.9","12.6","16.2","5.7","93.9","111.2"
"154","John Wall","Lac","G","32.5","34","22.2","27.1","19.1","113","0.681","229","0.459","109","0.303","0.457","0.498","11.4","2.7","5.2","0.8","0.4","2.4","14.1","16.6","19.3","9.8","102.2","109.3"
"155","Marcus Morris Sr.","Lac","F","33.6","64","28.2","17.8","8","87","0.782","334","0.482","306","0.366","0.514","0.535","11.3","4","1.8","0.7","0.3","0.9","15.3","13.1","17.1","6.1","108.5","109.8"
"156","Cam Reddish","Por","F-G","23.6","18","28.2","18.1","15.5","39","0.821","77","0.571","86","0.326","0.528","0.566","11.3","3.1","2.1","1.3","0.3","1.7","14.4","13.4","16.5","5.9","107.1","113.5"
"157","Marcus Smart","Bos","G","29.1","56","32.4","17.5","19.8","111","0.757","240","0.517","303","0.333","0.507","0.536","11.3","3.2","6.4","1.6","0.4","2.4","14.5","17.8","20.9","7.6","110.6","106.4"
"158","Isaiah Stewart","Det","F-C","21.8","50","28.3","17.3","13.4","149","0.738","236","0.542","205","0.327","0.518","0.56","11.3","8.1","1.4","0.4","0.7","1.4","19.4","12.7","20.8","7.1","113.7","110.7"
"159","Zach Collins","San","F-C","25.3","59","22.5","20.8","19.4","132","0.765","358","0.573","131","0.382","0.573","0.604","11.2","6.3","2.8","0.6","0.7","2","17.5","14","20.3","10.4","113.2","106.9"
"160","Kris Dunn","Uta","G","29","13","23.2","20.4","12.5","25","0.8","93","0.516","26","0.385","0.529","0.562","11.2","4.2","5.2","1.2","0.5","1.3","15.5","16.5","20.7","10.8","121.8","104.9"
"161","Naz Reid","Min","C-F","23.6","65","18.3","24.4","14.4","118","0.686","332","0.663","203","0.335","0.602","0.618","11.2","4.9","1.1","0.6","0.8","1.4","16","12.3","17.2","8.6","112.3","100.3"
"162","Jordan Nwora","Ind","F","24.5","16","22.1","20.9","12.1","23","0.652","83","0.494","62","0.435","0.562","0.574","11.1","4.3","2.1","0.7","0.3","1.3","15.4","13.2","17.4","8.4","110.6","113.9"
"163","Moritz Wagner","Orl","F-C","25.9","51","20.2","21.2","13.8","173","0.844","218","0.628","155","0.31","0.56","0.628","11.1","4.7","1.6","0.7","0.2","1.2","15.8","12.6","17.4","8.7","123.5","103.5"
"164","Kentavious Caldwell-Pope","Den","G","30.1","70","31.7","14","11.8","113","0.832","288","0.51","297","0.428","0.577","0.606","11","2.7","2.5","1.5","0.4","1.1","13.7","13.5","16.2","5.3","118.3","112.2"
"165","Jeremy Sochan","San","F","19.8","56","26","19.9","14.9","116","0.698","418","0.519","134","0.246","0.483","0.509","11","5.3","2.5","0.8","0.4","1.7","16.2","13.5","18.8","8.1","102.8","113.4"
"166","Bruce Brown","Den","G-F","26.6","72","28.1","17.3","15.1","114","0.754","408","0.547","234","0.363","0.546","0.569","10.9","4","3.3","1","0.6","1.6","15","14.3","18.3","7.5","111.8","109"
"167","Josh Hart","Nyk","G","28.1","18","30.3","12.8","18.8","45","0.8","74","0.622","42","0.548","0.694","0.725","10.9","6.7","3.8","1.4","0.4","1.5","17.7","14.7","21.4","8.6","139.6","106.2"
"168","Reggie Jackson","Lac","G","32.9","52","25.7","20.8","15.8","66","0.924","292","0.469","220","0.35","0.493","0.523","10.9","2.2","3.5","0.7","0.1","1.8","13.1","14.4","16.6","6.8","103.3","111.8"
"169","Grayson Allen","Mil","G","27.5","67","27.6","14.8","11.5","119","0.908","184","0.527","347","0.403","0.578","0.619","10.8","3.3","2.3","0.9","0.2","1","14.1","13","16.4","6.3","124.2","108.9"
"170","Saddiq Bey","Atl","F","24","16","24.7","15.9","8.6","23","0.826","52","0.462","75","0.467","0.602","0.627","10.8","4.4","1","0.6","0.1","0.8","15.2","11.8","16.2","5.9","125.3","113.5"
"171","Jaylen Nowell","Min","G","23.7","64","19.3","24.9","9.4","97","0.784","385","0.54","228","0.289","0.501","0.526","10.8","2.6","2","0.7","0.1","1","13.4","12.8","15.4","7.9","106","110.9"
"172","Terrence Ross","Pho","G-F","32.1","12","18.5","20.7","3.9","11","0.818","38","0.553","61","0.426","0.606","0.621","10.8","2.8","1.5","0.7","0","0.3","13.5","12.3","15","7.7","128.1","101.9"
"173","Mike Conley","Uta","G","35.5","43","29.7","16.1","16.5","96","0.813","162","0.469","213","0.362","0.511","0.552","10.7","2.5","7.7","1","0.2","1.7","13.2","18.4","20.9","8","123.3","113.9"
"174","Jalen McDaniels","Cha","F-C","25.1","56","26.7","17.4","13.8","104","0.846","292","0.534","202","0.322","0.513","0.551","10.6","4.8","2","1.2","0.5","1.4","15.4","12.6","17.4","7","106.4","106.7"
"175","Cameron Payne","Pho","G","28.6","41","21.1","24.9","16.3","59","0.746","231","0.446","170","0.365","0.489","0.511","10.6","2.3","4.6","0.8","0.2","1.9","13","15.3","17.6","9.1","104.6","109.1"
"176","Eric Gordon","Lac","G","34.2","15","25.9","16.2","9.1","26","0.769","50","0.5","70","0.414","0.571","0.597","10.5","1.7","2.3","0.6","0.5","0.8","12.2","12.7","14.5","5.3","120.4","112.4"
"177","Tyus Jones","Mem","G","26.9","73","24.1","17.9","9.5","92","0.804","358","0.492","293","0.386","0.531","0.553","10.5","2.4","5","1","0.1","0.9","12.9","15.5","18","8.3","122.8","114.4"
"178","De'Anthony Melton","Phi","G","24.8","70","28.2","16.5","13.3","78","0.808","227","0.489","374","0.398","0.557","0.576","10.5","4.2","2.7","1.7","0.6","1.3","14.6","13.1","17.3","7","113.4","105.1"
"179","Ivica Zubac","Lac","C","26","68","29","14.5","19.4","207","0.71","451","0.627","2","0","0.625","0.655","10.5","10.1","1.1","0.4","1.3","1.6","20.6","11.5","21.6","6.7","125.8","104.7"
"180","Cam Thomas","Bro","G","21.4","52","16.6","27.4","11.9","162","0.858","285","0.463","120","0.375","0.493","0.565","10.3","1.7","1.4","0.4","0.1","1.1","12.1","11.8","13.5","7","108.5","114.3"
"181","Monte Morris","Was","G","27.7","60","27.6","15.6","10.8","76","0.829","300","0.537","195","0.39","0.556","0.58","10.2","3.4","5.2","0.7","0.2","1","13.6","15.4","18.8","8.2","124.7","115.3"
"182","Quentin Grimes","Nyk","G","22.9","64","29.1","13.9","11.1","83","0.795","166","0.627","337","0.371","0.58","0.601","10.1","3.1","1.9","0.6","0.4","1","13.2","12.1","15.2","5.4","120.8","110.2"
"183","Corey Kispert","Was","F","24.1","66","27.8","13.3","9.1","72","0.847","164","0.646","315","0.419","0.635","0.655","10.1","2.8","1.2","0.5","0.1","0.7","12.9","11.4","14.2","4.7","124.4","116.4"
"184","Doug McDermott","San","F","31.2","61","20.6","18.9","10.6","59","0.729","212","0.514","279","0.423","0.582","0.595","10.1","2.2","1.5","0.2","0.1","1","12.3","11.5","13.7","6.2","112.7","116.5"
"185","Victor Oladipo","Mia","G","30.9","38","26.7","19.9","17.4","71","0.761","172","0.471","178","0.315","0.471","0.504","10.1","3.2","3.4","1.4","0.3","1.9","13.3","13.5","16.7","7.2","98.5","105.6"
"186","Patrick Williams","Chi","F","21.6","73","28.5","15.5","13.5","98","0.867","356","0.492","240","0.417","0.545","0.575","10.1","4.1","1.2","0.8","0.8","1.3","14.2","11.3","15.4","5.2","108.6","110"
"187","Brandon Clarke","Mem","F","26.5","56","19.5","17.6","13.6","137","0.723","343","0.665","6","0.167","0.658","0.682","10","5.5","1.3","0.6","0.7","1","15.5","11.3","16.8","8.5","131.1","100.3"
"188","Caleb Martin","Mia","F","27.5","63","29.7","14.6","12.1","104","0.798","280","0.543","219","0.374","0.551","0.581","10","4.9","1.6","1","0.5","1.1","14.9","11.7","16.6","5.8","114.9","108.3"
"189","Luke Kennard","Mem","G","26.7","17","22.3","13.4","8.6","16","0.938","20","0.3","86","0.547","0.722","0.743","9.9","2.4","2.1","0.5","0","0.6","12.3","11.9","14.4","6.6","144.6","109.8"
"190","Aaron Nesmith","Ind","G-F","23.4","65","24.7","16.8","11.6","120","0.85","240","0.513","279","0.351","0.52","0.561","9.9","3.8","1.3","0.8","0.4","1","13.7","11.2","15","5.9","110","107.5"
"191","Killian Hayes","Det","G","21.7","68","27.4","20.4","17.6","79","0.81","458","0.421","253","0.285","0.423","0.447","9.8","2.8","6.2","1.4","0.4","2.2","12.6","16","18.7","8.1","97.4","110.8"
"192","Al Horford","Bos","C-F","36.8","58","30.8","11.7","7","21","0.714","146","0.541","289","0.457","0.637","0.64","9.8","6.2","2.9","0.5","0.9","0.6","16","12.7","18.9","7.3","134.9","108.8"
"193","Jonathan Kuminga","Gol","F","20.5","60","20.6","20","16.6","118","0.653","313","0.578","135","0.356","0.565","0.583","9.7","3.4","1.9","0.6","0.5","1.5","13.1","11.6","14.9","7.7","109.4","107.3"
"194","Jalen Suggs","Orl","G","21.8","45","23.7","20.2","18","101","0.703","207","0.502","167","0.311","0.487","0.52","9.7","3","3.2","1.3","0.5","1.8","12.6","12.8","15.8","7.6","104.1","106.8"
"195","Seth Curry","Bro","G","32.6","55","20.8","19.2","10.3","48","0.979","204","0.52","221","0.407","0.567","0.593","9.6","1.7","1.7","0.6","0.1","0.9","11.4","11.4","13.1","5.8","112.9","112.3"
"196","Onyeka Okongwu","Atl","F-C","22.3","71","23.4","14.7","13.9","163","0.748","430","0.644","8","0.25","0.639","0.669","9.6","7.2","1","0.7","1.3","1","16.8","10.6","17.9","7","133.7","103.3"
"197","Landry Shamet","Pho","G","26","33","21.5","19.2","11.4","47","0.894","87","0.402","177","0.384","0.519","0.555","9.6","1.7","2.2","0.6","0.2","1","11.2","11.8","13.4","6.1","111.6","112.2"
"198","Chris Boucher","Tor","F-C","30.2","68","20.1","18","7.1","155","0.755","301","0.591","172","0.331","0.557","0.595","9.5","5.7","0.4","0.7","0.9","0.5","15.2","9.9","15.6","5.5","126.7","106.7"
"199","Josh Green","Dal","G","22.4","54","25.8","15.2","16","93","0.72","201","0.632","157","0.408","0.623","0.643","9.5","3","1.8","0.7","0.1","1.3","12.5","11.3","14.2","5.8","119.7","109.5"
"200","Josh Hart","Por","G","28.1","51","33.4","12.7","17.9","119","0.731","251","0.594","112","0.304","0.551","0.586","9.5","8.2","3.9","1.1","0.2","1.5","17.7","13.5","21.6","8.1","122","111.2"
"201","Herbert Jones","Nor","F","24.5","57","29","14.7","14.6","142","0.739","286","0.538","147","0.293","0.505","0.547","9.5","4","2.4","1.6","0.6","1.3","13.5","11.9","15.8","6.2","112.1","103.9"
"202","Naji Marshall","Nor","F","25.2","68","24.4","17.6","14.2","159","0.799","317","0.521","209","0.306","0.496","0.544","9.5","3.7","2.5","0.7","0.2","1.3","13.3","12.1","15.8","7.3","109.6","110"
"203","Gabe Vincent","Mia","G","26.8","60","26.2","17.5","14.6","72","0.889","190","0.516","314","0.328","0.501","0.531","9.5","2.1","2.5","0.9","0.1","1.4","11.6","12","14.1","5.6","103.2","107.2"
"204","T.J. Warren","Bro","F","29.6","26","18.9","21","7.8","33","0.818","152","0.566","48","0.333","0.55","0.576","9.5","2.8","1.1","0.6","0.3","0.7","12.3","10.6","13.4","6.5","112.5","109.3"
"205","Malaki Branham","San","F","19.9","58","23.1","18.3","12.3","54","0.815","283","0.534","215","0.302","0.499","0.518","9.3","2.7","2","0.5","0.1","1.2","12","11.3","13.9","6.4","101.9","117"
"206","Hamidou Diallo","Det","G","24.7","56","17.8","21.8","15.9","148","0.588","354","0.593","21","0.238","0.58","0.593","9.3","3.5","1","0.9","0.3","1.3","12.8","10.3","13.8","7.2","109.4","107.1"
"207","Tari Eason","Hou","F","21.9","74","21","19.4","13.2","134","0.739","429","0.499","151","0.358","0.509","0.539","9.3","5.9","1","1.1","0.6","1.2","15.2","10.3","16.2","7.2","111.4","108.5"
"208","Rui Hachimura","Lal","F","25.1","26","22.6","16.7","6.2","49","0.735","143","0.524","55","0.345","0.523","0.553","9.3","4.4","0.6","0.3","0.3","0.5","13.7","9.9","14.3","5.1","113.1","113"
"209","Talen Horton-Tucker","Uta","G","22.3","59","18.9","24.6","18.1","127","0.748","325","0.486","168","0.274","0.46","0.5","9.3","3.1","3.5","0.6","0.5","1.8","12.4","12.8","15.9","9.9","102.4","110.6"
"210","Santi Aldama","Mem","F-C","22.2","70","22","16","9.6","131","0.74","235","0.596","252","0.353","0.562","0.591","9.2","4.7","1.3","0.6","0.6","0.7","13.9","10.5","15.2","7","120.8","105.5"
"211","Kyle Anderson","Min","F-G","29.5","61","27.9","14.3","17.5","130","0.738","334","0.53","89","0.416","0.55","0.584","9.2","5.2","4.7","1.1","0.9","1.5","14.4","13.9","19.1","8.7","119.9","109.3"
"212","Donte DiVincenzo","Gol","G","26.1","65","26.4","15","16.7","59","0.847","141","0.482","347","0.398","0.564","0.584","9.2","4.4","3.3","1.3","0.2","1.5","13.6","12.6","16.9","7.7","115.3","110.7"
"213","Sandro Mamukelashvili","San","F-C","23.8","11","21.8","18.5","11.2","20","0.7","49","0.49","38","0.342","0.5","0.527","9.2","6.2","2","0.5","0.4","1","15.4","11.2","17.4","8.9","114.6","111.9"
"214","Coby White","Chi","G","23.1","65","22.9","17.3","10.6","63","0.857","197","0.528","300","0.373","0.547","0.57","9.2","2.7","2.4","0.8","0.1","0.9","11.9","11.6","14.3","6.8","112.6","108.9"
"215","Dorian Finney-Smith","Dal","F","29.9","40","32.2","12.8","10.4","40","0.75","93","0.559","217","0.355","0.54","0.557","9.1","4.7","1.5","1","0.5","0.9","13.8","10.6","15.3","5","115.5","113.5"
"216","Taurean Prince","Min","F","29","48","22","17","16.5","62","0.855","160","0.569","168","0.399","0.584","0.614","9.1","2.4","1.6","0.5","0.3","1.4","11.5","10.7","13.1","5.9","109.4","108.8"
"217","Jae'Sean Tate","Hou","F","27.4","31","21.8","18.8","17","69","0.725","183","0.53","46","0.283","0.509","0.546","9.1","3.8","2.7","0.7","0.2","1.5","12.9","11.8","15.6","8.3","111.1","106.2"
"218","Precious Achiuwa","Tor","F","23.5","47","21.4","18.8","13.3","116","0.698","255","0.549","85","0.247","0.504","0.542","9","6","1","0.6","0.6","1.1","15","10","16","7.1","110.8","107.2"
"219","Jose Alvarado","Nor","G","25","61","21.5","19.8","14.2","80","0.813","242","0.488","247","0.336","0.496","0.525","9","2.3","3","1.1","0.2","1.3","11.3","12.1","14.4","7.4","106.5","106"
"220","Bol Bol","Orl","C-F","23.4","67","21.4","17.8","19.3","100","0.76","343","0.644","99","0.293","0.598","0.622","9","5.8","0.9","0.4","1.2","1.6","14.8","9.9","15.7","6.7","108.3","109.5"
"221","Terance Mann","Lac","G-F","26.4","73","23.1","15.5","12.7","108","0.778","304","0.609","177","0.384","0.597","0.622","9","3.5","2.3","0.5","0.3","1","12.5","11.3","14.8","7.2","124.3","110"
"222","Jalen Smith","Ind","F-C","23","62","18.2","21.2","12.5","126","0.77","273","0.59","174","0.27","0.518","0.557","9","5.6","1","0.3","0.9","1","14.7","10","15.6","8.1","112.6","107.3"
"223","Deni Avdija","Was","F","22.2","72","26.2","16.3","16.8","151","0.748","314","0.532","214","0.304","0.501","0.54","8.9","6.4","2.6","0.8","0.4","1.5","15.3","11.6","17.9","8.1","107.7","105.5"
"224","Keita Bates-Diop","San","F","27.2","59","21.1","16","10.9","119","0.782","269","0.554","113","0.398","0.567","0.605","8.9","3.5","1.4","0.7","0.3","0.8","12.5","10.3","13.9","6.7","120.8","119"
"225","Ayo Dosunmu","Chi","G","23.2","71","26.8","14.9","15.3","78","0.808","344","0.587","170","0.324","0.554","0.576","8.9","2.8","2.6","0.7","0.3","1.3","11.7","11.5","14.4","6","111","108.2"
"226","AJ Griffin","Atl","F","19.6","65","19.4","17.8","7","42","0.905","247","0.555","232","0.379","0.562","0.579","8.9","2.1","1","0.6","0.2","0.6","11","9.8","11.9","5.5","115.9","114.4"
"227","Isaiah Joe","Okc","G","23.7","66","18.3","17.1","6.7","69","0.826","88","0.557","343","0.42","0.615","0.636","8.9","2.3","1.1","0.6","0.1","0.5","11.2","10","12.3","6.2","126.6","110.8"
"228","Royce O'Neale","Bro","F","29.8","69","32","13.6","16.3","67","0.731","162","0.383","377","0.393","0.527","0.543","8.9","5.1","3.7","0.9","0.6","1.5","14","12.6","17.7","6.9","108.3","108.1"
"229","Andrew Nembhard","Ind","G-F","23.2","67","27.2","15.4","16.2","49","0.796","304","0.503","237","0.346","0.51","0.525","8.8","2.6","4.1","0.9","0.2","1.6","11.4","12.9","15.5","6.7","106.6","113.6"
"230","Eugene Omoruyi","Det","F","26.1","11","22.4","18.1","9.3","21","0.714","58","0.552","29","0.207","0.471","0.504","8.8","3.9","0.9","0.8","0.3","0.8","12.7","9.7","13.6","5.6","105.8","107.8"
"231","Cedi Osman","Cle","F","28","70","20.7","17.9","8.8","98","0.684","202","0.584","287","0.366","0.563","0.581","8.8","2.3","1.5","0.5","0.1","0.7","11.1","10.3","12.7","6","115.7","107"
"232","Aleksej Pokusevski","Okc","C","21.2","31","21.9","18.4","14.4","33","0.636","142","0.486","101","0.376","0.519","0.53","8.8","5.1","2","0.6","1.3","1.3","13.9","10.8","15.9","8.2","107.2","108.1"
"233","Jalen Duren","Det","C","19.3","59","24.6","13.8","17.9","132","0.621","338","0.639","2","0","0.635","0.646","8.7","8.7","1.2","0.6","0.9","1.3","17.4","9.9","18.6","7.3","126.9","108.2"
"234","Jaden Hardy","Dal","G","20.7","40","14.4","26.8","11.7","73","0.836","144","0.458","128","0.398","0.524","0.569","8.7","1.8","1.2","0.3","0.1","0.9","10.4","9.8","11.6","7.4","107.5","109.8"
"235","Gary Harris","Orl","G","28.5","43","25","12.8","8.8","30","0.9","81","0.506","200","0.44","0.616","0.634","8.7","2","1.2","1","0.2","0.6","10.7","9.9","11.9","4.4","123.4","110.5"
"236","Dennis Smith Jr.","Cha","G","25.3","53","25.7","17.4","15.2","102","0.735","334","0.473","107","0.215","0.437","0.473","8.7","3.1","4.8","1.4","0.5","1.5","11.7","13.5","16.5","7.9","103","109.6"
"237","Steven Adams","Mem","C","29.7","42","27","14.6","23.1","129","0.364","262","0.599","1","0","0.597","0.564","8.6","11.5","2.3","0.9","1.1","1.9","20.1","10.9","22.5","9","117.9","102.7"
"238","Walker Kessler","Uta","C","21.7","69","22.7","12.8","13","145","0.524","360","0.717","2","0.5","0.717","0.699","8.6","8.3","0.9","0.3","2.3","0.8","16.9","9.5","17.8","7.1","139.6","107.1"
"239","Josh Richardson","Nor","G","29.5","14","24.6","15.2","9.7","21","0.762","45","0.467","57","0.368","0.515","0.544","8.6","2.6","2","1.7","0.5","0.8","11.2","10.6","13.2","5.8","112.8","104.4"
"240","Daniel Gafford","Was","F-C","24.5","72","20.1","14.6","17.7","163","0.656","340","0.741","0","0","0.741","0.742","8.5","5.3","1","0.4","1.3","1","13.8","9.5","14.8","7.1","137.3","106"
"241","Draymond Green","Gol","F","33.1","66","31.5","13","28.9","99","0.707","309","0.612","119","0.311","0.571","0.593","8.5","7.3","6.8","1","0.8","2.6","15.7","15.3","22.6","9.5","115","106.5"
"242","Bones Hyland","Lac","G","22.5","6","16.2","26.5","7.4","11","0.727","25","0.32","25","0.36","0.43","0.465","8.5","3.7","2.5","0.7","0.2","0.7","12.2","11","14.7","10.6","108.2","98.1"
"243","Kevin Love","Cle","F-C","34.5","41","20","19.6","14.1","63","0.889","90","0.467","195","0.354","0.511","0.555","8.5","6.8","1.9","0.2","0.2","1.1","15.3","10.3","17.1","9.6","111.9","102.1"
"244","Shake Milton","Phi","G-F","26.5","69","20.2","18.2","15.5","104","0.846","308","0.536","133","0.398","0.554","0.593","8.4","2.5","2.8","0.3","0.2","1.2","10.9","11.2","13.7","7.7","116.6","109.6"
"245","Cam Reddish","Nyk","F-G","23.6","20","21.9","16.2","9.9","33","0.879","80","0.55","56","0.304","0.511","0.558","8.4","1.6","1","0.8","0.4","0.8","10","9.4","11","4.3","113","111.6"
"246","Grant Williams","Bos","F","24.3","71","26.6","13.1","14.9","109","0.789","172","0.535","268","0.403","0.577","0.609","8.4","4.7","1.7","0.6","0.4","1.1","13","10.1","14.7","6.1","118.6","105.5"
"247","Damion Lee","Pho","G-F","30.4","70","20.7","16.2","14.6","102","0.902","192","0.443","240","0.446","0.568","0.611","8.3","3.1","1.4","0.4","0.1","1.1","11.4","9.7","12.8","6.4","115.3","110.3"
"248","Shaedon Sharpe","Por","G","19.8","72","20.8","17.1","10.2","66","0.682","281","0.566","219","0.361","0.555","0.567","8.3","2.6","0.8","0.5","0.3","0.8","10.9","9.1","11.8","5","110.2","114.3"
"249","Jarred Vanderbilt","Uta","F","24","52","24.1","14.1","17.9","102","0.657","254","0.606","57","0.333","0.587","0.607","8.3","7.8","2.7","1","0.3","1.3","16.2","11","18.9","9.3","124.8","105.4"
"250","Mark Williams","Cha","C","21.3","38","17.8","16.9","13.5","81","0.679","204","0.642","0","0","0.642","0.661","8.3","6.4","0.4","0.7","1.1","0.8","14.8","8.8","15.2","6.2","126.4","102.6"
"251","Georges Niang","Phi","F","29.8","70","19.3","17.1","9.4","42","0.857","102","0.569","351","0.402","0.595","0.61","8.2","2.4","1","0.4","0.2","0.7","10.6","9.2","11.6","5.6","114.6","106.9"
"252","Robert Williams III","Bos","C-F","25.4","30","23.8","11.8","15.1","34","0.647","150","0.747","1","0","0.742","0.741","8.2","8.5","1.5","0.6","1.2","0.9","16.7","9.7","18.2","7.9","147.8","104.1"
"253","Pat Connaughton","Mil","G","30.2","55","24.7","13.9","7","41","0.659","93","0.559","307","0.342","0.524","0.533","8.1","4.9","1.3","0.7","0.2","0.5","13","9.4","14.3","6","112.9","108.6"
"254","T.J. McConnell","Ind","G","31","69","20.1","18.6","21.7","63","0.841","405","0.538","54","0.426","0.55","0.573","8.1","3","5.2","1.1","0.1","1.8","11.1","13.2","16.3","10","114.3","113.6"
"255","Jevon Carter","Mil","G","27.5","73","22.2","15.4","12.7","36","0.806","208","0.442","295","0.417","0.55","0.561","8","2.6","2.4","0.9","0.4","1","10.5","10.4","12.9","6.6","112.9","105"
"256","Chris Duarte","Ind","G","25.8","45","19.8","19","10.8","72","0.847","158","0.43","173","0.318","0.455","0.499","8","2.6","1.4","0.5","0.2","0.9","10.6","9.4","12","6.2","101.2","114.8"
