"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"458","Josh Minott","Min","F","20.3","14","6.6","18.9","8","8","1","28","0.571","6","0.333","0.559","0.613","3.3","1.8","0.3","0.3","0.4","0.2","5.1","3.6","5.4","7.3","122.8","103.5"
"459","Gorgui Dieng","San","C","33.2","26","10.4","17.1","22.2","8","0.75","29","0.586","55","0.255","0.452","0.468","3.2","2.8","1.5","0.2","0.4","0.9","6","4.7","7.5","9.1","97.9","105.8"
"460","Usman Garuba","Hou","F","21","67","13.2","10.4","21.8","44","0.591","109","0.523","49","0.49","0.589","0.598","3.2","4.3","0.9","0.6","0.4","0.7","7.4","4","8.3","7","120.8","105.2"
"461","Richaun Holmes","Sac","F","29.4","36","8.6","12.8","16.4","17","0.824","66","0.682","5","0.8","0.718","0.739","3.2","2","0.1","0.1","0.3","0.4","5.3","3.4","5.4","4","133.4","104.5"
"462","Christian Koloko","Tor","C","22.8","51","14","10.5","11.8","55","0.655","124","0.5","10","0.1","0.474","0.515","3.2","3.1","0.5","0.3","1.1","0.4","6.3","3.7","6.8","4.9","119.1","100.8"
"463","Boban Marjanovic","Hou","C","34.6","26","5","22.7","19.9","24","0.75","47","0.702","1","0","0.688","0.717","3.2","1.8","0.3","0.2","0","0.5","5","3.5","5.3","9.6","126","114.6"
"464","Jason Preston","Lac","G","23.6","13","9.4","18.6","19.6","2","0","23","0.565","18","0.278","0.5","0.489","3.2","1.7","2.1","0.2","0","0.8","4.8","5.2","6.9","9.6","102.4","111.2"
"465","Anthony Gill","Was","F","30.4","51","9.9","11.6","9.9","54","0.796","78","0.692","22","0.136","0.585","0.646","3.1","1.5","0.5","0.1","0.2","0.2","4.7","3.6","5.2","5.4","136.1","108.4"
"466","Jordan Hall","San","G","21.2","9","9.1","19.7","19.8","9","0.778","13","0.462","15","0.2","0.375","0.438","3.1","1.3","1.2","0.1","0","0.8","4.4","4.3","5.7","7.4","91.2","117.5"
"467","JT Thor","Cha","F","20.6","62","12.2","12.5","14.3","35","0.657","89","0.517","91","0.286","0.472","0.494","3.1","1.9","0.4","0.4","0.3","0.5","5","3.5","5.5","4.4","98.1","111.9"
"468","Dominick Barlow","San","F","19.8","20","12.5","11.4","17.7","15","0.667","47","0.532","4","0","0.49","0.521","3","2.8","0.6","0.3","0.6","0.6","5.8","3.6","6.4","5.5","109.2","106.8"
"469","Tyler Dorsey","Dal","G","27.1","3","2.8","27.3","0","0","0","3","1","2","0.5","0.9","0.9","3","0.7","0","0","0","0","3.7","3","3.7","0","",""
"470","Danny Green","Mem","G","35.8","3","14.5","13.3","21.4","0","0","3","0","8","0.375","0.409","0.409","3","1.3","0.7","0.3","0","1","4.3","3.7","5","3.9","76.7","103"
"471","Danny Green","Cle","G","35.8","6","7.4","15.5","19.4","1","1","2","0.5","10","0.5","0.708","0.723","3","0.5","0","0.3","0.2","0.5","3.5","3","3.5","0","109.8","105.6"
